video_id,neg,neu,pos,total_tokens,chunk_count
Xd9Aj9PYats,-2.81991720,0.23089172,2.90522671,180,1
mj3KdTI-MJc,-2.17857313,0.63513565,1.47983086,278,1
NB1MbFGLP-4,-3.39951777,0.45537752,3.10518146,111,1
BNzOf0LMMmU,-3.14023209,0.71023858,2.36409974,79,1
jmSIiXWTuXU,-2.24710751,0.80607367,1.01895618,78,1
hptX6cW2ECo,-2.48175192,1.62193692,0.59548968,119,1
GRs2eMGVQzk,-2.43378901,0.42441916,2.10528517,178,1
G3ZfdXs0-9I,-1.24455845,0.80801034,0.13362151,93,1
Qsp9UZE4meE,-0.41269368,0.92122293,-0.63220417,95,1
HTsdJOz_xPk,0.76790667,0.36926359,-1.38071835,185,1
ILxNd2QIasc,0.86079097,0.59482419,-1.81710672,76,1
x2ZNXlO-aLo,0.82527608,0.44449520,-1.61904311,165,1
tXbrcJT9zGs,-1.56507695,1.26846218,0.17857516,145,1
jz18zZa2z6U,-1.16076016,0.54917455,0.48032698,155,1
GF7dN0SA_qo,0.13688311,0.59812629,-1.05859411,219,1
9N5TxhlZpvY,-3.52765059,1.32053888,2.09177899,60,1
mk2CpplfyjQ,-3.08018351,0.48884237,2.75498867,123,1
-s5EvgVDmh4,-3.27245164,0.55138302,2.80509734,143,1
sokOOEAxWlc,-2.46563697,1.03979933,1.37823927,374,1
-74AZF9v5yY,0.20239741,0.83481997,-1.13330209,76,1
vvyU8gsyRB4,-2.98901796,0.59499025,2.29762936,53,1
bkET9bBSl04,1.88334394,0.16373456,-2.41995668,98,1
owzpW0pjBYs,-1.99131584,0.18137291,1.81995940,136,1
Gfwd1bve_Tg,-2.29070497,0.79594600,1.47870731,366,1
JnzqM9mkyuc,-2.60345483,1.26184559,1.18953514,124,1
iSnSIDRkcY0,-0.34442377,0.83188993,-0.87332094,155,1
BpK4HCUyt6Q,-2.49305248,0.97562832,1.28574872,98,1
UZZRXY0_kRs,-1.00779569,0.70239514,-0.03250674,145,1
APMWPy8P50w,-2.75745797,0.90307897,1.72229230,311,1
0Om7LUkwVFc,-2.25070548,0.19633606,2.29049873,150,1
ipWbEcTyGr4,-1.91481781,1.06269431,0.48009411,122,1
IMcx4YHt8eo,-3.35165763,0.40539384,3.22255421,173,1
83zaz8hMBKo,-3.09445119,1.50781918,1.42985749,138,1
ZtaY5GzKYbg,-2.95557499,1.63399386,1.29131997,79,1
CxEe2xydFIA,-2.65806484,0.51985025,2.14031410,140,1
qE5DdIMRxRU,-0.11124364,0.45472574,-0.64918435,121,1
PbMBHnhoqH8,-0.71519935,1.16378880,-0.78035784,152,1
OdrVBXK22jk,-3.32905102,0.63233256,2.82653379,166,1
EjadrlIswlw,-2.92379832,0.43171555,2.65259385,147,1
ihDVi7GJUMo,-0.39279640,0.72764039,-0.71258700,166,1
vvB2WU5mXnc,-0.06632584,0.84299159,-1.14712322,289,1
W48hH55Z-QI,-3.08993101,0.65633488,2.53554535,377,1
jAOo4icuAp0,-3.36161566,1.19391942,2.08251214,141,1
vXRL6oQg1Nw,-2.03376346,0.78680813,1.19068845,913,2
O0pGrT-YqV4,-1.16883242,1.33273900,-0.43324426,128,1
XQ6icGci_t8,-0.08086208,0.65874243,-0.93836391,121,1
z8qitNnycnM,-2.02087522,1.29176736,0.32287410,90,1
d5S-aqy4Lws,-3.14148140,0.86870092,2.00212765,73,1
CS2pPNtWUsc,1.74324656,0.66474235,-2.63880944,183,1
8HJwa0ZVFCo,-1.70207083,0.87040639,0.81141305,73,1
_9kAPZhi5tk,-3.05823445,1.19720352,1.91527534,132,1
QJ_z_q13yD8,-3.08230901,-0.27370644,3.82321739,118,1
xtPa8Oq62y4,-3.52920938,1.24005723,2.06894922,73,1
DtbdaOYRtVY,0.56682748,0.59585041,-1.37794125,117,1
jiyf2oFw7IU,-2.20321584,1.43471348,0.46769777,95,1
dWTBTHPNO00,-1.38499641,1.11933374,0.22373196,271,1
jnief7sLbl8,-1.99854136,0.83303970,1.00184345,169,1
MpW0GF-OBdE,1.55327082,0.56974918,-2.60553885,112,1
BfKsSuq0ja8,-1.29789746,1.16059232,-0.14687625,485,1
jKuXxNsZYo4,-3.50606418,1.19420469,2.16980648,81,1
ZR4DewDj4bI,-3.19487405,1.74603677,1.19266737,68,1
aNZilIlu688,0.60387349,0.69069213,-1.64352775,84,1
